Periode,Jumlah,Tanggal
1,26143,18/5/2024
2,23206,19/5/2024
3,22881,20/5/2024
4,25195,21/5/2024
5,32969,22/5/2024
6,43737,23/5/2024
7,26978,24/5/2024
8,26481,25/5/2024
9,23576,26/5/2024
10,21380,27/5/2024
11,24178,28/5/2024
12,24707,29/5/2024
13,24342,30/5/2024
14,27480,31/5/2024
15,16959,1/6/2024
16,17602,2/6/2024
17,22629,3/6/2024
18,23796,4/6/2024
19,23278,5/6/2024
20,26563,6/6/2024
21,29581,7/6/2024
22,30305,8/6/2024
23,25772,9/6/2024
24,25006,10/6/2024
25,26430,11/6/2024
26,27759,12/6/2024
27,29510,13/6/2024
28,43121,14/6/2024
29,63483,15/6/2024
30,37762,16/6/2024
31,21135,17/6/2024
32,27153,18/6/2024
33,31129,19/6/2024
34,31386,20/6/2024
35,4867,21/6/2024
36,40311,22/6/2024
37,33329,23/6/2024
38,30072,24/6/2024
39,31216,25/6/2024
40,4558,26/6/2024
41,34288,27/6/2024
42,38859,28/6/2024
43,43320,29/6/2024
44,36202,30/6/2024
45,32508,1/7/2024
46,27965,2/7/2024
47,21681,3/7/2024
48,34025,4/7/2024
49,38681,5/7/2024
50,5900,6/7/2024
51,33262,7/7/2024
52,29314,8/7/2024
53,29518,9/7/2024
54,29897,10/7/2024
55,5755,11/7/2024
56,33585,12/7/2024
57,35318,13/7/2024
58,26535,14/7/2024
59,24708,15/7/2024
60,3529,16/7/2024
61,27050,17/7/2024
62,26904,18/7/2024
63,30677,19/7/2024
64,29970,20/7/2024
65,3279,21/7/2024
66,22947,22/7/2024
67,23842,23/7/2024
68,24667,24/7/2024
69,25955,25/7/2024
70,28964,26/7/2024
71,30509,27/7/2024
72,21687,28/7/2024
73,23289,29/7/2024
74,23558,30/7/2024
75,24060,31/7/2024
76,25704,1/8/2024
77,28110,2/8/2024
78,15982,3/8/2024
79,23174,4/8/2024
80,20570,5/8/2024
81,23389,6/8/2024
82,25781,7/8/2024
83,25265,8/8/2024
84,28964,9/8/2024
85,10770,10/8/2024
86,23207,11/8/2024
87,23411,12/8/2024
88,21038,13/8/2024
89,20990,14/8/2024
90,13298,15/8/2024
91,30842,16/8/2024
92,24253,17/8/2024
93,21532,18/8/2024
94,11211,19/8/2024
95,18064,20/8/2024
96,11208,21/8/2024
97,25709,22/8/2024
98,29339,23/8/2024
99,26043,24/8/2024
100,23868,25/8/2024
